date,code,action,price,shares,pnl,reason
2024-01-12,600436,sell,212.8195175,400,-9230.258799999996,
2024-01-12,600188,sell,14.37273432,7600,7241.388831999997,
2024-01-12,600036,sell,25.1530155,4100,1987.3878750000003,
2024-01-12,600460,sell,20.6665281,4500,-8446.32018000001,
2024-01-12,600066,buy,13.46868865,7400,0.0,
2024-01-12,600346,buy,11.50171259,8700,0.0,
2024-01-12,600415,buy,6.91231248,14500,0.0,
2024-01-12,600026,buy,12.24536848,8100,0.0,
2024-01-12,600219,buy,2.5562635,39200,0.0,
2024-01-12,600406,buy,19.88203446,5000,0.0,
2024-01-12,600039,buy,6.6854344,14900,0.0,
2024-01-26,600438,sell,25.03317292,4100,2475.5239529999963,
2024-01-26,600089,sell,14.05973296,7600,5063.8214039999875,
2024-01-26,600362,sell,17.17831968,6100,3475.8307519999944,
2024-01-26,600066,sell,13.92495693,7400,3376.3852719999995,
2024-01-26,600346,sell,11.73416434,8700,2022.3302249999979,
2024-01-26,600415,sell,7.10378928,14500,2776.4136,
2024-01-26,600026,sell,12.7712432,8100,4259.585232000012,
2024-01-26,600219,sell,2.5649288,39200,339.6797599999991,
2024-01-26,600406,sell,20.06217688,5000,900.7120999999897,
2024-01-26,600050,buy,4.287101,24100,0.0,
2024-01-26,600482,buy,18.66582858,5500,0.0,
2024-01-26,600061,buy,6.72902712,15300,0.0,
2024-01-26,600048,buy,9.23620919,11100,0.0,
2024-01-26,600030,buy,19.77560623,5200,0.0,
2024-01-26,600036,buy,27.426834,3700,0.0,
2024-01-26,600436,buy,221.07051565,400,0.0,
2024-01-26,600009,buy,33.5771369,3000,0.0,
2024-01-26,600309,buy,70.171907,1400,0.0,
2024-02-19,600039,sell,7.42924432,14900,11082.767808000004,
2024-02-19,600061,sell,6.39161172,15300,-5162.455619999993,
2024-02-19,600048,sell,9.14300829,11100,-1034.52999000001,
2024-02-19,600030,sell,19.79459385,5200,98.735623999979,
2024-02-19,600036,sell,27.8674965,3700,1630.4512500000128,
2024-02-19,600436,sell,205.84834515,400,-6088.868200000012,
2024-02-19,600009,sell,34.4766991,3000,2698.686600000001,
2024-02-19,600188,buy,16.85541952,6100,0.0,
2024-02-19,600111,buy,18.43214307,5600,0.0,
2024-02-19,600160,buy,18.06823017,5700,0.0,
2024-02-19,600276,buy,41.30564004,2500,0.0,
2024-02-19,600150,buy,32.47499562,3200,0.0,
2024-02-19,600161,buy,22.98595104,4500,0.0,
2024-02-19,600066,buy,14.84626788,7000,0.0,
2024-03-04,600050,sell,4.5791892,24100,7039.325620000003,
2024-03-04,600482,sell,21.53145526,5500,15760.946740000014,
2024-03-04,600309,sell,73.19026026,1400,4225.694564000005,
2024-03-04,600111,sell,18.82008348,5600,2172.4662960000132,
2024-03-04,600160,sell,20.05288623,5700,11312.539541999999,
2024-03-04,600161,sell,22.80586168,4500,-810.4021199999988,
2024-03-04,600089,buy,15.19918934,7200,0.0,
2024-03-04,600460,buy,21.42529918,5100,0.0,
2024-03-04,600438,buy,26.4515916,4100,0.0,
2024-03-04,600196,buy,25.052844,4300,0.0,
2024-03-04,600415,buy,8.22392856,13300,0.0,
2024-03-04,600219,buy,2.7295695,40200,0.0,
2024-03-18,600188,sell,15.8355056,6100,-6221.474912000005,
2024-03-18,600150,sell,34.65578384,3200,6978.522303999998,
2024-03-18,600066,sell,17.12760928,7000,15969.389800000019,
2024-03-18,600089,sell,15.42128677,7200,1599.101496000003,
2024-03-18,600460,sell,21.55508897,5100,661.9279289999977,
2024-03-18,600438,sell,25.59862361,4100,-3497.168758999993,
2024-03-18,600196,sell,24.52521,4300,-2268.826199999996,
2024-03-18,600415,sell,8.82708048,13300,8021.920536000005,
