date,code,action,price,shares,pnl,fee,reason
2023-10-19,600183,sell,15.5245539,8000,11230.035009960018,279.44197020000007,
2023-10-19,600161,buy,22.20829244,4900,0.0,27.232363397239,
2023-10-19,600023,buy,3.8283214,28600,0.0,27.399870508009997,
2023-10-19,600674,buy,14.05386045,7800,0.0,27.432432905377496,
2023-10-19,600019,buy,5.38810664,20300,0.0,27.371985839197993,
2023-10-19,600346,buy,13.1102787,8300,0.0,27.231032130802497,
2023-10-19,601100,buy,54.88809714,2000,0.0,27.471492618569997,
2023-10-19,600809,buy,211.66656,500,0.0,26.484778319999997,
2023-11-02,600436,sell,242.197337,400,-7294.9411295799655,217.97760330000003,
2023-11-02,600026,sell,13.58822714,8700,4359.038236468521,265.98954626550005,
2023-11-02,600023,sell,4.0829366,28600,6909.767757750014,262.73697021000004,
2023-11-02,600674,sell,14.139846,7800,312.91288119001547,248.15429730000002,
2023-11-02,600019,sell,5.80328609,20300,8053.699178047289,265.06509216075005,
2023-11-02,600346,sell,13.72395132,8300,4728.372641889015,256.29479090100006,
2023-11-02,600276,buy,47.4925626,2300,0.0,27.335531718494998,
2023-11-02,600887,buy,24.71875016,4500,0.0,27.836402523929998,
2023-11-02,600584,buy,30.31687295,3700,0.0,28.071150586228747,
2023-11-02,600036,buy,27.039051,4100,0.0,27.742742302274998,
2023-11-02,600918,buy,7.1601582,15800,0.0,28.310907514889998,
2023-11-16,601127,sell,81.4294928,3100,139351.67552766204,567.9707122800002,
2023-11-16,601100,sell,57.26988669,2000,4396.088415615013,257.71449010500004,
2023-11-16,600809,sell,224.89572,500,6255.739035000006,253.00768500000004,
2023-11-16,600276,sell,46.4019192,2300,-2857.8426458399917,240.12993186000003,
2023-11-16,600887,sell,24.42943048,4500,-1660.5209193299816,247.34798361000003,
2023-11-16,600584,sell,31.4580973,3700,3848.4690050625213,261.8886600225,
2023-11-16,600036,sell,26.9156655,4100,-865.0376733374869,248.29701423750004,
2023-11-16,600918,sell,7.229482,15800,725.1774553400173,257.0080851,
2023-11-16,601059,buy,19.58167067,6500,0.0,31.852035053588747,
