date,code,action,price,shares,pnl,fee,reason
2023-08-16,600377,buy,8.92031172,12400,0.0,110.61186532800002,
2023-08-16,600188,buy,11.43377184,9700,0.0,110.90758684800001,
2023-08-16,600115,buy,4.65,23900,0.0,111.13500000000002,
2023-08-16,600026,buy,12.75246196,8700,0.0,110.946419052,
2023-08-16,600233,buy,14.25087846,7800,0.0,111.156851988,
2023-08-16,600085,buy,55.4555854,2000,0.0,110.9111708,
2023-08-30,600009,sell,38.51495115,2400,-13233.866282759976,92.43588276000001,
2023-08-30,600377,sell,8.94830433,12400,236.14939030796813,110.95897369199999,
2023-08-30,600115,sell,4.37,23900,-6796.443000000014,104.443,
2023-08-30,600026,sell,12.75246196,8700,-110.94641905199387,110.946419052,
2023-08-30,600085,sell,53.22582876,2000,-4565.964937519995,106.45165752,
2023-08-30,600066,buy,10.69598141,9900,0.0,105.890215959,
2023-08-30,600039,buy,7.94282736,13300,0.0,105.639603888,
2023-08-30,600489,buy,10.475498,10100,0.0,105.8025298,
2023-08-30,600036,buy,27.9027495,3700,0.0,103.24017315,
2023-08-30,600161,buy,20.23549536,5200,0.0,105.224575872,
2023-09-13,600160,sell,15.57267255,6900,-3090.330548594997,107.45144059500001,
2023-09-13,600025,sell,7.13763063,15900,2643.3131389830087,113.488327017,
2023-09-13,600233,sell,14.04158652,7800,-1742.0015068560024,109.524374856,
2023-09-13,600066,sell,12.0209143,9900,12997.828559429996,119.00705157,
2023-09-13,600039,sell,7.00421008,13300,-12576.765818064,93.155994064,
2023-09-13,600489,sell,10.67548478,10100,1912.0440817219933,107.822396278,
2023-09-13,600036,sell,28.86339375,3700,3447.5891681249923,106.794556875,
2023-09-13,600415,buy,9.334494,11600,0.0,108.28013039999999,
2023-09-13,600018,buy,4.76543488,22700,0.0,108.175371776,
2023-09-13,600027,buy,5.10603149,21200,0.0,108.247867588,
2023-09-13,600436,buy,259.6301157,400,0.0,103.85204628,
2023-09-13,600023,buy,4.0738432,26600,0.0,108.36422911999999,
2023-09-13,600183,buy,14.48958364,7400,0.0,107.222918936,
2023-09-13,600115,buy,4.48,24200,0.0,108.41600000000001,
2023-09-27,600188,sell,13.53398932,9700,20240.82985959598,131.279696404,
2023-09-27,600018,sell,4.82127982,22700,1158.2370860859955,109.443051914,
2023-09-27,600027,sell,4.8013316,21200,-6561.425897920009,101.78822992,
2023-09-27,600023,sell,3.864695,26600,-5666.1430069999915,102.800887,
2023-09-27,600115,sell,4.42,24200,-1558.9640000000218,106.964,
2023-09-27,600438,buy,30.90810975,3600,0.0,111.26919510000002,
2023-09-27,600026,buy,13.04357118,8500,0.0,110.87035503000001,
2023-09-27,600482,buy,17.83165643,6200,0.0,110.556269866,
2023-09-27,600036,buy,28.9250865,3800,0.0,109.9153287,
2023-09-27,600089,buy,14.28183039,7800,0.0,111.398277042,
2023-10-19,600276,sell,43.04075454,2700,6308.671082742003,116.21003725800001,
2023-10-19,600415,sell,7.71651504,11600,-18858.067510463996,89.511574464,
2023-10-19,600436,sell,238.19303355,400,-8670.11007342,95.27721342,
2023-10-19,600438,sell,28.61755526,3600,-8349.019362936015,103.023198936,
2023-10-19,600482,sell,17.35078072,6200,-3089.004242463998,107.57484046399999,
2023-10-19,600036,sell,27.82343025,3800,-4292.022784949993,105.72903495,
2023-10-19,600089,sell,13.74107143,7800,-4325.100245153997,107.180357154,
2023-10-19,600023,buy,3.8283214,27100,0.0,103.74750994,
2023-10-19,600346,buy,13.1102787,7900,0.0,103.57120173,
2023-10-19,600025,buy,7.33991166,14100,0.0,103.492754406,
2023-10-19,600233,buy,12.91902066,8000,0.0,103.35216528000001,
2023-10-19,600018,buy,4.51413265,23000,0.0,103.82505094999999,
2023-10-19,600066,buy,11.71381065,8800,0.0,103.08153372,
2023-10-19,600196,buy,27.026586,3800,0.0,102.70102680000001,
2023-11-02,600183,sell,16.31265052,7400,13369.981298151994,120.713613848,
2023-11-02,600023,sell,4.0829366,27100,6789.424338140001,110.64758186,
2023-11-02,600346,sell,13.72395132,7900,4739.594482571993,108.419215428,
2023-11-02,600025,sell,7.54219269,14100,2745.8176060709957,106.34491692900001,
2023-11-02,600233,sell,12.80486142,8000,-1015.7128113600047,102.43889136,
